"Gene","Insertion.Index","log.likelihood.ratio","essential","non.essential","unclear"
"rpsC",0.004273504,-21.5881405151001,TRUE,FALSE,FALSE
"rplV",0.012012012,-14.2931596999415,TRUE,FALSE,FALSE
"rpsS",0.003584229,-22.7924940056405,TRUE,FALSE,FALSE
"rplB",0.00486618,-20.6939011878211,TRUE,FALSE,FALSE
"rplW",0.00330033,-23.3551887486455,TRUE,FALSE,FALSE
"rplD",0.00330033,-23.3551887486455,TRUE,FALSE,FALSE
"rplC",0.004761905,-20.8433698617592,TRUE,FALSE,FALSE
"rpsJ",0.006410256,-18.7793832984541,TRUE,FALSE,FALSE
"gspB",0.354761905,28.4161546302138,FALSE,TRUE,FALSE
"gspA",0.491156463,38.6519915468654,FALSE,TRUE,FALSE
"gspC",0.446078431,35.3434800981742,FALSE,TRUE,FALSE
"gspD",0.338453661,27.1382937753779,FALSE,TRUE,FALSE
"gspE",0.287449393,23.0348651630659,FALSE,TRUE,FALSE
"gspF",0.319131161,25.6042205328811,FALSE,TRUE,FALSE
"gspG",0.285388128,22.8650914501875,FALSE,TRUE,FALSE
"gspH",0.315686275,25.3282539370989,FALSE,TRUE,FALSE
"gspI",0.264550265,21.1285276640805,FALSE,TRUE,FALSE
"gspJ",0.321428571,25.7878344232079,FALSE,TRUE,FALSE
"gspK",0.356707317,28.5676314563725,FALSE,TRUE,FALSE
"gspL",0.358247423,28.6874100450905,FALSE,TRUE,FALSE
"gspM",0.277056277,22.175278909956,FALSE,TRUE,FALSE
"gspO",0.365781711,29.2716312645813,FALSE,TRUE,FALSE
"bfr",0.358490566,28.7063087928793,FALSE,TRUE,FALSE
"bfd",0.4,31.8912550602544,FALSE,TRUE,FALSE
"chiA",0.386414254,30.8574729058067,FALSE,TRUE,FALSE
"tufA",0.133333333,8.81909863076113,FALSE,TRUE,FALSE
"fusA",0.005200946,-20.2339615780263,TRUE,FALSE,FALSE
"rpsG",0.024074074,-8.97938650569014,TRUE,FALSE,FALSE
"rpsL",0.008,-17.219678989884,TRUE,FALSE,FALSE
"tusB",0.09375,4.14314614289755,FALSE,TRUE,FALSE
"tusC",0.097222222,4.58950822742194,FALSE,TRUE,FALSE
"tusD",0.139534884,9.48738483308906,FALSE,TRUE,FALSE
